# CPersistent family 1.19.3 — fingerprint slot1=0x1424BEC50 & slot3=0x1424BE690
# class	vtable	writer[2]	reader[4]	slots(到下一RTTI表距离,非定案)
$0EK::?$CNonstaticIdGenerator	0x142720f50	0x1401f2980	0x1401e59b0	9
$0EN::?$CNonstaticIdGenerator	0x142958858	0x1401f2980	0x1401e59b0	9
$0EO::?$CNonstaticIdGenerator	0x1429588a8	0x1401f2980	0x1401e59b0	13
$0EP::?$CNonstaticIdGenerator	0x142720fa0	0x1401f2980	0x1401e59b0	9
$0FD::?$CNonstaticIdGenerator	0x142721040	0x1401f2980	0x1401e59b0	9
$0FE::NRaids::VCRaidInstance::?$TReferenceObject	0x142983a20	0x142220340	0x14221fc10	10
$0FG::?$CNonstaticIdGenerator	0x142720ff0	0x1401f2980	0x1401e59b0	9
$0FH::?$CNonstaticIdGenerator	0x142721090	0x1401f2980	0x1401e59b0	9
?A0xe6375eb1::CMissionStatsReadHelper	0x1429d4560	0x14012a2c0	0x14152fd50	118
?A0xe73720c8::COperationResourcesEntryCivilian	0x14293eff8	0x140a7b130	0x140a7aff0	41
?A0xfb67b519::CModuleCountLimit	0x14295b878	0x14012a2c0	0x140c9b340	256
C2dCircularProgressBarType	0x142b51b50	0x14012a2c0	0x142357430	33
C2dPieChartType	0x142b52750	0x14012a2c0	0x142361580	28
CAIArea	0x1427df530	0x14012a2c0	0x140627840	9
CAIAttitude	0x1427e02a8	0x14012a2c0	0x1424bec40	18
CAICompactDivisionTemplate	0x1429c7990	0x14012a2c0	0x1414942c0	9
CAIEquipmentRoleDatabaseEntry	0x1427dfa18	0x14012a2c0	0x14148c800	10
CAIFocus	0x1427e1dd8	0x14012a2c0	0x1406604a0	59
CAIFocusDatabaseEntry	0x1427e2180	0x14012a2c0	0x1406604c0	10
CAIMTTHChance	0x1427d5f20	0x14012a2c0	0x140552320	84
CAIResearchNeed	0x1427e1d70	0x1413c5640	0x1413c5530	12
CAIRoleDatabaseEntry	0x1427e09e8	0x14012a2c0	0x141494490	10
CAIStrategyDatabaseEntry	0x1427e20d8	0x14012a2c0	0x140660850	9
CAIStrategyPlanDatabaseEntry	0x1427e1990	0x14012a2c0	0x140660b80	13
CAIStrategyReader	0x142765588	0x14012a2c0	0x140660f20	9
CAITemplateEntry	0x1429c79e0	0x14012a2c0	0x141495160	10
CAbility	0x1429852f8	0x14012a2c0	0x14100b170	58
CAbortDismantleFacilityCommand	0x142a908c0	0x14226a110	0x142269e60	24
CAce	0x1427de2a0	0x14061bd30	0x14061afb0	10
CAceModifier	0x1427de3a0	0x14012a2c0	0x14061b390	291
CAchievement	0x1427ded30	0x14012a2c0	0x140620920	23
CAchievementMod	0x1427dedf0	0x14012a2c0	0x140620940	77
CActivateActiveDecryptionBonuses	0x142a2ec00	0x14226a110	0x142269e60	24
CAddAdvisorCommand	0x142995580	0x14226a110	0x142269e60	24
CAddAdvisorRoleToCharacterCommand	0x1429953f0	0x14226a110	0x142269e60	24
CAddConstructionCommand	0x142994770	0x14226a110	0x142269e60	24
CAddConveyorLineCommand	0x142a48a00	0x14226a110	0x142269e60	24
CAddHumanCommand	0x142a22e08	0x14226a110	0x142269e60	24
CAddIdeaCommand	0x142995328	0x14226a110	0x142269e60	24
CAddIndustrialOrgTraitToQueueCommand	0x142967e68	0x14226a110	0x142269e60	24
CAddMassFactoryAssignmentCommand	0x142993a28	0x14226a110	0x142269e60	24
CAddMassProductionsLineCommand	0x1429937d0	0x14226a110	0x142269e60	24
CAddNavalInvasionTargetCommand	0x142a0c718	0x14226a110	0x142269e60	24
CAddPlayerCommand	0x142a22d40	0x14226a110	0x142269e60	24
CAddProductionLineCommand	0x142993708	0x14226a110	0x142269e60	24
CAddProductionLineFactoriesCommand	0x142994db0	0x14226a110	0x142269e60	24
CAddProductionLineName	0x142994450	0x14226a110	0x142269e60	24
CAddProductionLineOrderedName	0x142994518	0x14226a110	0x142269e60	24
CAddProductionLineUnorderedName	0x1429945e0	0x14226a110	0x142269e60	24
CAddSizeCommand	0x142967c10	0x14226a110	0x142269e60	24
CAddTaskCapacityCommand	0x142967b48	0x14226a110	0x142269e60	24
CAddTaskForceTemplateCommand	0x1429b0ad8	0x14226a110	0x142269e60	24
CAddToOrRemoveShipFromNavalRepairQueue	0x1429b03d0	0x14226a110	0x142269e60	24
CAddWarGoalAction	0x14298ba40	0x1411412b0	0x14113e2a0	67
CAdjacencyRule	0x1429d63e8	0x14012a2c0	0x141548f60	9
CAdvisor	0x1429a7d60	0x1412a5390	0x1412a3c70	107
CAdvisorTemplate	0x1429bba98	0x1413e0350	0x1413dfa70	20
CAgencyUpgradeBranch	0x1427df190	0x14012a2c0	0x140625780	9
CAiDiscardForceConcentrationTargetCommand	0x142a31e48	0x14226a110	0x142269e60	70
CAiFleetTemplate	0x14271a8d8	0x14012a2c0	0x140a6ead0	9
CAiOnFailedInvasionCommand	0x142a31bf0	0x14226a110	0x142269e60	24
CAiStoreForceConcentrationTargetCommand	0x142a31d80	0x14226a110	0x142269e60	24
CAiStoreTotalWantedNrDivisionsCommand	0x142a31cb8	0x14226a110	0x142269e60	24
CAiTaskforceTemplate	0x14271a888	0x14012a2c0	0x140a6eb60	9
CAirBase	0x142958780	0x140c667b0	0x140c60df0	10
CAirBaseAccessAction	0x142a36158	0x141141470	0x14113e7a0	67
CAirBaseAccessRelation	0x142a21738	0x140d2daa0	0x140d2b100	23
CAirGroup	0x1429ccf30	0x1414ec490	0x1414ebe00	1292
CAirInLandCombat	0x1429a8270	0x1412bd780	0x1412ba1d0	9
CAirMission	0x14297c8d0	0x140f87820	0x140f84d40	313
CAirRegionCombatData	0x142958968	0x141964630	0x1419640e0	669
CAirTheatre	0x1427e73c0	0x1414ec5a0	0x1414ebef0	10
CAirWing	0x14297ade0	0x140f68b30	0x140f651b0	10
CAirWingPool	0x14297ae38	0x140f68ff0	0x140f65c70	355
CAlliedAttitude	0x1427e06d0	0x14012a2c0	0x1424bec40	18
CAmbientObject	0x1429e7368	0x141646f30	0x141646930	9
CAmbientObjectType	0x1429e7318	0x141647160	0x141646a70	9
CAmendForeignManpowerActionCommand	0x142997380	0x14226a110	0x142269e60	24
CAmendIncomingLendLeaseActionCommand	0x1429972b8	0x14226a110	0x142269e60	24
CAnimViewerGraphics	0x142afd7b8	0x14012a2c0	0x14223b060	47
CAnimatedMapTextType	0x142b519d0	0x14012a2c0	0x1423563f0	30
CAnonymousEquipmentGroup	0x142719668	0x14012a2c0	0x140a0b160	14
CArmy	0x14295a490	0x140c90550	0x140c8c7e0	13
CArmyGroup	0x142952348	0x140bf75a0	0x140bf2ed0	18
CArmyGroupCommand	0x142a0ac88	0x14226a110	0x142269e60	24
CArmyLeader	0x142955ca8	0x140c28200	0x140c20530	34
CArmyManpower	0x14295a130	0x140c6ad10	0x140c6a300	9
CArmyManpowerValues	0x14295a0e0	0x14012a2c0	0x1424bec40	9
CArmyReinforcementRequests	0x1429d1df8	0x141510290	0x14150eb90	9
CArmyRequests	0x1429d2080	0x1415103c0	0x14150ec80	9
CArmyUpgradesRequests	0x1429d1fa8	0x141510430	0x14150ecd0	9
CArmyUpgradesRequests::CUpgradeRequestPersister	0x1429d1f20	0x141510700	0x14150f1b0	9
CArmyUpgradesStatus	0x1429d2030	0x141510510	0x14150eef0	9
CArrowType	0x142b51ac8	0x14012a2c0	0x142356d10	16
CAskForStateControlAction	0x14298dea8	0x1411412e0	0x14113e2f0	67
CAskToCoopWithCountryCommand	0x14295e430	0x14226a110	0x142269e60	24
CAssetFactory	0x142b50890	0x14012a2c0	0x14234db90	149
CAssetFactoryAudio	0x142b503f8	0x14012a2c0	0x14234a010	137
CAssignAceCommand	0x142996138	0x14226a110	0x142269e60	24
CAssignAdmiralToNavyHeadquarter	0x142a0d208	0x14226a110	0x142269e60	24
CAssignArmyToArmyGroupFront	0x142a0d078	0x14226a110	0x142269e60	24
CAssignRailwayGunToOrdersGroup	0x142972960	0x14226a110	0x142269e60	24
CAssignToArmyGroupCommand	0x142a0ad50	0x14226a110	0x142269e60	24
CAssignToTheaterGroupCommand	0x142a326d0	0x14226a110	0x142269e60	24
CAttachAirWingToArmyCommand	0x142a1e1f0	0x14226a110	0x142269e60	24
CAttachPolicyToIndustrialOrgCommand	0x142967da0	0x14226a110	0x142269e60	24
CAttachScientistCommand	0x142a90410	0x14226a110	0x142269e60	24
CAttacheRelation	0x142960648	0x140d2daa0	0x140d2b100	23
CAutoMergeOrdersCommand	0x142a0b9d0	0x14226a110	0x142269e60	24
CAutomateHomebaseForFleetCommand	0x1429b0df8	0x14226a110	0x142269e60	24
CAutonomousState	0x1427e3770	0x14012a2c0	0x140678d40	9
CAutonomousStateDatabase	0x1427e3820	0x14012a2c0	0x140678fb0	9
CAutosave	0x14296a880	0x14226a110	0x142269e60	24
CAutotestSettings	0x142724378	0x14012a2c0	0x1401f8d30	9
CBaseAchievement	0x1427decc0	0x14012a2c0	0x140620960	13
CBaseTimedActivity	0x142944a10	0x140adcc60	0x140adc130	19
CBecomeSpyMasterCommand	0x142a2e9a8	0x14226a110	0x142269e60	24
CBitmapFont	0x142b41888	0x14012a2c0	0x14229ec60	188
CBookmark	0x1427e3e08	0x14012a2c0	0x14067db80	9
CBookmarkCountryEntry	0x1427e3db8	0x14012a2c0	0x14067e210	9
CBoostPartyPopularityAction	0x14298da68	0x141141310	0x14113e310	67
CBoostPartyPopularityRelation	0x142960708	0x140d2da60	0x140d2b050	23
CBuildRailwayCommand	0x142997510	0x14226a110	0x142269e60	24
CBuilding	0x14298a7b8	0x1410dcca0	0x1410dbf60	183
CBuildingProductionLine	0x14297b958	0x140f6e660	0x140f6e1c0	100
CBuildingReference	0x142971f30	0x1413c0d80	0x1413c0940	12
CBuildingSpawnPoint	0x1427e42c0	0x14012a2c0	0x1414df9b0	16
CBuildingStatus	0x142999050	0x141179440	0x141178ab0	133
