# id	name	entry	idglob	caller	site
11	id	14338D170	142ADC810	1400831C0	1400831FD
21	idtype	14338D1B8	142ADC908	1400831C0	140083233
22	machineid	14338D200	142ADC924	1400831C0	140083269
24	filelist	14338D248	142ADC95C	1400831C0	14008329F
25	dir	14338D290	142ADC980	1400831C0	1400832D5
26	file	14338D2D8	142ADC99C	1400831C0	14008330B
27	name	14338D320	142ADC9BC	1400831C0	140083341
28	noOfFrames	14338D368	142ADC9E0	1400831C0	140083377
29	fonts	14338D3B0	142ADCA00	1400831C0	1400833AD
30	font	14338D3F8	142ADCA20	1400831C0	1400833E3
31	height	14338D440	142ADCA3C	1400831C0	140083419
32	x	14338D488	142ADCA60	1400831C0	14008344F
33	y	14338D4D0	142ADCA7C	1400831C0	140083485
34	fontName	14338D518	142ADCA9C	1400831C0	1400834BB
35	charSet	14338D560	142ADCAC0	1400831C0	1400834F1
36	xFile	14338D5A8	142ADCADC	1400831C0	140083527
37	textureFile	14338D5F0	142ADCB00	1400831C0	14008355D
38	textureFile1	14338D638	142ADCB20	1400831C0	140083593
39	textureFile2	14338D680	142ADCB3C	1400831C0	1400835C9
40	textureFile3	14338D6C8	142ADCB5C	1400831C0	1400835FF
41	textureFile4	14338D710	142ADCB7C	1400831C0	140083635
42	textureFile5	14338D758	142ADCBA0	1400831C0	14008366B
43	textureFile6	14338D7A0	142ADCBC0	1400831C0	1400836A1
44	textureFile7	14338D7E8	142ADCBE0	1400831C0	1400836D7
45	textureFile8	14338D830	142ADCBFC	1400831C0	140083710
46	textureFile9	14338D878	142ADCC20	1400831C0	140083749
47	size	14338D8C0	142ADCC3C	1400831C0	140083782
48	fullScreen	14338D908	142ADCC5C	1400831C0	1400837BB
49	cube	14338D998	142ADCC9C	1400831C0	14008382D
50	center	14338D9E0	142ADCCC0	1400831C0	140083866
51	side	14338DA28	142ADCCE0	1400831C0	14008389F
52	animatedMesh	14338DA70	142ADCD00	1400831C0	1400838D8
53	spriteTypes	14338DAB8	142ADCD20	1400831C0	140083911
54	spriteType	14338DB00	142ADCD3C	1400831C0	14008394A
55	objectTypes	14338DB48	142ADCD60	1400831C0	140083983
56	cubeType	14338DB90	142ADCD7C	1400831C0	1400839BC
57	meshType	14338DBD8	142ADCD9C	1400831C0	1400839F5
58	mapMeshType	14338DC20	142ADCDBC	1400831C0	140083A2E
59	animatedMeshType	14338DC68	142ADCDE0	1400831C0	140083A67
60	sprites	14338DCB0	142ADCDFC	1400831C0	140083AA0
61	sprite	14338DCF8	142ADCE1C	1400831C0	140083AD9
62	objects	14338DD40	142ADCE3C	1400831C0	140083B12
63	group	14338DD88	142ADCE60	1400831C0	140083B4B
64	animation	14338DDD0	142ADCE7C	1400831C0	140083B84
65	object	14338DE18	142ADCEA0	1400831C0	140083BBD
66	defaultAnimationTime	14338DE60	142ADCEC0	1400831C0	140083BF6
67	particleType	14338DEA8	142ADCEE0	1400831C0	140083C2F
